Sample Number,Date Submitted,Analysis (Lead),Lead (ppb),Analysis (Copper),Copper (ppb),Street #,Street Name,City,Zip Code
LG38207,4/22/2016,Lead,0,Copper,0,525,12TH ST,FLINT,48503
LG18552,2/26/2016,Lead,0,Copper,0,1907 ,2ND AVE,FLINT,48503
LG20757,3/6/2016,Lead,0,Copper,260,308,4TH AVE,FLINT,48503
LG07760,2/2/2016,Lead,7,Copper,0,2417 ,ADAIR ST,FLINT,48506
LG10679,2/8/2016,Lead,8,Copper,70,2421 ,ADAIR ST,,48506
LG39240,4/25/2016,Lead,7,Copper,0,2421,ADAIR ST,FLINT,48506
LG26816,3/22/2016,Lead,0,Copper,0,1817,ADAMS AVE,FLINT,48505
LG31026,4/1/2016,Lead,5,Copper,120,1821,ADAMS AVE,FLINT,48505
LG05008,1/27/2016,Lead,2,Copper,0,1902 ,ADAMS AVE,FLINT,48505
LG05252,1/27/2016,Lead,5,Copper,0,1902 ,ADAMS AVE,FLINT,48505
LG11853,2/10/2016,Lead,6,Copper,220,2005 ,ADAMS AVE,FLINT,48505
LG31690,4/5/2016,Lead,7,Copper,80,2005,ADAMS AVE,FLINT,48505
LG02548,1/22/2016,Lead,0,Copper,90,2009 ,ADAMS AVE,FLINT,48505
LG03070,1/24/2016,Lead,3,Copper,90,2021 ,ADAMS AVE,FLINT,48505
LG24937,3/17/2016,Lead,2,Copper,50,2022,ADAMS AVE,FLINT,48505
LG24952,3/17/2016,Lead,20,Copper,80,2022,ADAMS AVE,FLINT,48505
LG02976,1/24/2016,Lead,5,Copper,0,2025 ,ADAMS AVE,FLINT,48505
LG10800,2/8/2016,Lead,2,Copper,90,2026 ,ADAMS AVE,FLINT,48505
LG13756,2/16/2016,Lead,1,Copper,90,2026 ,ADAMS AVE,FLINT,48505
LG20010,3/3/2016,Lead,4,Copper,290,2026 ,ADAMS AVE,FLINT,48505
LG23829,3/16/2016,Lead,0,Copper,200,2026,ADAMS AVE,FLINT,48505
LG29867,3/30/2016,Lead,0,Copper,180,2026,ADAMS AVE,FLINT,48505
LG35741,4/14/2016,Lead,0,Copper,170,2026,ADAMS AVE,FLINT,48505
LG02803,1/23/2016,Lead,14,Copper,140,2105 ,ADAMS AVE,FLINT,48505
LG06298,1/30/2016,Lead,1,Copper,0,2118 ,ADAMS AVE,FLINT,48505
LG05006,1/27/2016,Lead,4,Copper,110,2305 ,ADAMS AVE,FLINT,48505
LG45478,5/17/2016,Lead,3,Copper,120,2305,ADAMS AVE,FLINT,48505
LG45479,5/17/2016,Lead,26,Copper,300,2305,ADAMS AVE,FLINT,48505
LG04604,1/26/2016,Lead,1,Copper,60,2306 ,ADAMS AVE,FLINT,48505
LG04221,1/26/2016,Lead,10,Copper,0,2309 ,ADAMS AVE,FLINT,48505
LG31688,4/5/2016,Lead,2,Copper,100,2310,ADAMS AVE,FLINT,48505
LG18018,2/24/2016,Lead,8,Copper,80,2318 ,ADAMS AVE,FLINT,48505
LG38289,4/22/2016,Lead,0,Copper,0,2412,ADAMS AVE,FLINT,48505
LG15629,2/18/2016,Lead,1,Copper,0,710 ,ADDISON ST,FLINT,48505
LG02094,1/21/2016,Lead,0,Copper,60,801 ,ADDISON ST,FLINT,48505
LG01857,1/21/2016,Lead,3,Copper,0,921 ,ADDISON ST #1,FLINT,48505
LG08329,2/3/2016,Lead,8,Copper,0,921 ,ADDISON ST #1,FLINT,48505
LG13975,2/16/2016,Lead,1,Copper,0,921 ,ADDISON ST #1,FLINT,48505
LG49229,6/2/2016,Lead,3,Copper,0,921,ADDISON ST #1,FLINT,48505
LG01866,1/21/2016,Lead,62,Copper,"7,200",921 ,ADDISON ST #2,FLINT,48505
LG08296,2/3/2016,Lead,112,Copper,0,921,ADDISON ST #2,FLINT,48505
LG14263,2/16/2016,Lead,12,Copper,0,921 ,ADDISON ST #2,FLINT,48505
LG49264,6/2/2016,Lead,0,Copper,0,921,ADDISON ST 1,FLINT,48505
LF99982,1/15/2016,Lead,0,Copper,140,801 ,ADDISON ST A,FLINT,48505
LG49220,6/2/2016,Lead,2,Copper,0,921,ADDISON ST APT 2,FLINT,48505
LG08330,2/3/2016,Lead,13,Copper,90,742 ,ADDISON ST/ PO BOX 13347,FLINT,48505
LG10541,2/7/2016,Lead,2,Copper,70,5440 ,AFAF ST,FLINT,48505
LG09478,2/4/2016,Lead,0,Copper,0,2915 ,AGREE AVE,FLINT,48506
LG00532,1/19/2016,Lead,0,Copper,0,2927 ,AGREE AVE,FLINT,48506
LG00974,1/20/2016,Lead,0,Copper,0,2927 ,AGREE AVE,FLINT,48506
LG07013,2/1/2016,Lead,1,Copper,100,2975 ,AGREE AVE,FLINT,48506
LG04376,1/26/2016,Lead,0,Copper,0,3008 ,AIRPARK DR,FLINT,48532
LG28089,3/24/2016,Lead,3,Copper,0,2000,AITKEN AVE,FLINT,48503
LG30103,3/30/2016,Lead,4,Copper,0,2000,AITKEN AVE,FLINT,48503
LG34849,4/13/2016,Lead,2,Copper,0,2000,AITKEN AVE,FLINT,48503
LG55305,6/23/2016,Lead,3,Copper,130,2005,AITKEN AVE,FLINT,48503
LG55309,6/23/2016,Lead,5,Copper,90,2005,AITKEN AVE,FLINT,48503
LF91283,11/9/2015,Lead,0,Copper,0,2006 ,AITKEN AVE,FLINT,48503
LG04062,1/26/2016,Lead,0,Copper,0,2006 ,AITKEN AVE,FLINT,48503
LG39845,4/27/2016,Lead,0,Copper,0,2006,AITKEN AVE,FLINT,48503
