Team, City, State/Province, Year Founded, High F Avg, Low F Avg, High C Avg, Low C Avg
Boston Bruins,"	Boston", Massachusetts,1924,59,44,15,7
Buffalo Sabres,"	Buffalo", New York,1970,56,40,14,5
Detroit Red Wings,"	Detroit", Michigan ,1926,49,42,15,5
Florida Panthers,"	Sunrise", Florida,1993,84,70,29,21
Montreal Canadiens,"	Montreal", Quebec,1917,53,36,12,2
Ottawa Senators,"	Ottawa", Ontario,1992,53,35,12,2
Tampa Bay Lightning,"	Tampa", Florida,1992,82,65,28,18
Toronto Maple Leafs,"	Toronto", Ontario,1917,55,43,13,6
Carolina Hurricanes,"	Raleigh", North Carolina,1979,72,50,22,10
Columbus Blue Jackets,"	Columbus", Ohio,2000,63,44,17,7
New Jersey Devils,"	Newark", New Jersey,1974,63,47,17,8
New York Islanders,"	New York City", New York,1972,62,48,17,9
New York Rangers,"	New York City", New York,1926,62,48,17,9
Philadelphia Flyers,"	Philadelphia", Pennsylvania,1967,65,47,18,8
Pittsburgh Penguins,"	Pittsburgh", Pennsylvania,1967,61,42,16,6
Washington Capitals,"	Washington", D.C.,1974,67,50,19,10
Chicago Blackhawks,"	Chicago", Illinois,1926,59,41,15,5
Colorado Avalanche,"	Denver", Colorado,1979,64,36,18,2
Dallas Stars,"	Dallas", Texas,1967,77,57,25,14
Minnesota Wild,"	Saint Paul", Minnesota,2000,57,37,14,3
Nashville Predators,"	Nashville", Tennessee,1998,70,49,21,9
St. Louis Blues,"	St. Louis", Missouri,1967,66,48,19,9
Winnipeg Jets,"	Winnipeg", Manitoba,1999,48,27,9,-3
Anaheim Ducks,"	Anaheim", California,1993,78,56,26,13
Arizona Coyotes,"	Glendale", Arizona,1979,88,65,31,18
Calgary Flames,"	Calgary", Alberta,1972,51,29,11,-2
Edmonton Oilers,"	Edmonton", Alberta,1979,49,30,9,-1
Los Angeles Kings,"	Los Angeles", California,1967,75,56,24,13
San Jose Sharks,"	San Jose", California,1991,71,50,22,10
Vancouver Canucks,"	Vancouver", British Columbia,1970,57,44,14,7
Vegas Golden Knights,"	Paradise", Nevada,2017,80,59,27,15
