Year,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1991,Tom Barrasso\barrato01,26,PIT,57,,25,22,9,196,1702,1506,0.885,3.53,1,8.7,3329,,,,103,-5.64,0,4,4,30
1991,Don Beaupre\beaupdo01,30,WSH,54,,29,17,6,166,1435,1269,0.884,3.2,1,7.2,3108,,,,103,-5.5,0,0,0,30
1991,Stephane Beauregard\beaurst01,24,WIN,26,,6,8,6,61,611,550,0.9,2.89,2,3.9,1267,,,,89,7.34,0,0,0,0
1991,Ed Belfour*\belfoed01,26,CHI,52,,21,18,10,132,1241,1109,0.894,2.71,5,7.2,2928,,,,95,6.8,0,2,2,38
1991,Daniel Berthiaume\berthda01,26,TOT,27,,8,14,3,87,697,610,0.875,3.79,0,3,1378,,,,112,-9.05,0,0,0,0
1991,Daniel Berthiaume\berthda01,26,LAK,19,,7,10,1,66,541,475,0.878,4.04,0,2.4,979,,,,109,-5.49,0,0,0,0
1991,Daniel Berthiaume\berthda01,26,BOS,8,,1,4,2,21,156,135,0.865,3.16,0,0.5,399,,,,,,0,0,0,0
1991,Allan Bester\besteal01,27,DET,1,,0,0,0,2,9,7,0.778,3.93,0,0,31,,,,,,0,0,0,0
1991,Craig Billington\billicr01,25,NJD,26,,13,7,1,69,637,568,0.892,3.04,2,3.6,1363,,,,97,2.24,0,1,1,2
1991,Martin Brodeur*\brodema01,19,NJD,4,,2,1,0,10,85,75,0.882,3.36,0,0.4,179,,,,,,0,0,0,0
1991,Jon Casey\caseyjo01,29,MNS,52,,19,23,5,165,1401,1236,0.882,3.4,2,6.8,2911,,,,105,-8.31,0,2,2,26
1991,Tim Cheveldae\cheveti01,23,DET,72,,38,23,9,226,1978,1752,0.886,3.2,2,10.2,4236,,,,102,-4.77,0,4,4,6
1991,Jacques Cloutier\cloutja01,32,QUE,26,,6,14,3,88,712,624,0.876,3.93,0,3.1,1345,,,,111,-8.37,0,0,0,6
1991,Matt DelGuidice\delguma01,24,BOS,10,,2,5,1,28,239,211,0.883,3.96,0,1.2,424,,,,,,0,0,0,2
1991,Tom Draper\drapeto01,25,BUF,26,,10,9,5,75,712,637,0.895,3.21,1,4.2,1403,,,,94,4.63,0,2,2,2
1991,Chad Erickson\erickch01,21,NJD,2,,1,1,0,9,55,46,0.836,4.5,0,0.1,120,,,,,,0,0,0,0
1991,Bob Essensa\essenbo01,27,WIN,47,,21,17,6,126,1407,1281,0.91,2.88,5,10.1,2627,,,,80,31.36,0,2,2,2
1991,Stephane Fiset\fisetst01,21,QUE,23,,7,10,2,71,646,575,0.89,3.76,1,3.6,1133,,,,98,1.25,0,0,0,6
1991,Mark Fitzpatrick\fitzpma01,23,NYI,30,,11,13,5,93,949,856,0.902,3.2,0,6.2,1743,,,,88,13.14,0,2,2,8
1991,Wade Flaherty\flahewa01,24,SJS,3,,0,3,0,13,120,107,0.892,4.38,0,0.7,178,,,,,,0,0,0,0
1991,Norm Foster\fosteno01,26,EDM,10,,5,3,0,20,183,163,0.891,2.73,0,1,439,,,,,,0,0,0,2
1991,Grant Fuhr*\fuhrgr01,29,TOR,66,,25,33,5,230,1933,1703,0.881,3.66,2,9.2,3774,,,,106,-13.81,0,1,1,4
1991,Troy Gamble\gambltr01,24,VAN,19,,4,9,3,73,518,445,0.859,4.34,0,1.5,1009,,,,126,-15.07,0,0,0,8
1991,David Goverde\goverda01,21,LAK,2,,1,1,0,9,63,54,0.857,4.5,0,0.2,120,,,,,,0,1,1,0
1991,Jeff Hackett\hackeje01,23,SJS,42,,11,27,1,148,1366,1218,0.892,3.84,0,7.7,2314,,,,97,4.78,0,2,2,8
1991,Dominik Hasek*\hasekdo01,27,CHI,20,,10,4,1,44,413,369,0.893,2.6,1,2.4,1014,,,,95,2.19,0,0,0,8
1991,Brian Hayward\haywabr01,31,SJS,7,,1,4,0,25,177,152,0.859,4.92,0,0.5,305,,,,,,0,0,0,14
1991,Glenn Healy\healygl01,29,NYI,37,,14,16,4,124,1045,921,0.881,3.8,1,5,1960,,,,106,-7.12,0,1,1,18
1991,Guy Hebert\hebergu01,25,STL,13,,5,5,1,36,393,357,0.908,2.93,0,2.8,738,,,,82,7.95,0,1,1,0
1991,Ron Hextall\hextaro01,27,PHI,45,,16,21,6,151,1294,1143,0.883,3.4,3,6.4,2668,,,,104,-6.27,0,3,3,35
1991,Jim Hrivnak\hrivnji01,23,WSH,12,,6,3,0,35,274,239,0.872,3.47,0,1.1,605,,,,,,0,0,0,0
1991,Kelly Hrudey\hrudeke01,31,LAK,60,,26,17,13,197,1916,1719,0.897,3.37,1,11.7,3509,,,,92,17.29,0,1,1,12
1991,Peter Ing\ingpe01,22,EDM,12,,3,4,0,33,252,219,0.869,4.27,0,1,463,,,,,,0,3,3,0
1991,Arturs Irbe\irbear01,24,SJS,13,,2,6,3,48,365,317,0.868,4.46,0,1.4,645,,,,118,-7.18,0,1,1,0
1991,Pat Jablonski\jablopa01,24,STL,10,,3,6,0,38,259,221,0.853,4.87,0,0.6,468,,,,,,0,0,0,4
1991,Curtis Joseph\josepcu01,24,STL,60,,27,20,10,175,1953,1778,0.91,3.01,2,14,3494,,,,80,43.43,0,9,9,12
1991,Trevor Kidd\kiddtr01,19,CGY,2,,1,1,0,8,56,48,0.857,4.01,0,0.2,120,,,,,,0,0,0,0
1991,Scott King\kingsc01,24,DET,1,,0,0,0,1,5,4,0.8,3.65,0,0,16,,,,,,0,0,0,0
1991,Ray LeBlanc\leblara01,27,CHI,1,,1,0,0,1,22,21,0.955,1,0,0.2,60,,,,,,0,0,0,0
1991,Reggie Lemelin\lemelre01,37,BOS,8,,5,1,0,23,210,187,0.89,3.39,0,1.2,407,,,,,,0,1,1,2
1991,David Littman\littmda01,24,BUF,1,,0,1,0,4,29,25,0.862,4,0,0.1,60,,,,,,0,0,0,0
1991,Mike Liut\liutmi01,36,WSH,21,,10,7,2,70,558,488,0.875,3.74,1,2.4,1123,,,,112,-7.59,0,1,1,2
1991,Danny Lorenz\lorenda01,22,NYI,2,,0,2,0,10,60,50,0.833,5.02,0,0.1,120,,,,,,0,0,0,0
1991,Clint Malarchuk\malarcl01,30,BUF,29,,10,13,3,102,903,801,0.887,3.73,0,4.8,1639,,,,101,-1.01,0,0,0,6
1991,Kirk McLean\mcleaki01,25,VAN,65,,38,17,9,176,1780,1604,0.901,2.74,5,11.4,3852,,,,88,23.08,0,5,5,0
1991,Roland Melanson\melanro01,31,MTL,9,,5,3,0,22,195,173,0.887,2.68,2,1,492,,,,,,0,0,0,0
1991,Greg Millen\millegr01,34,DET,10,,3,2,3,22,212,190,0.896,2.71,0,1.3,487,,,,,,0,0,0,0
1991,Andy Moog\moogan01,31,BOS,62,,28,22,9,196,1727,1531,0.887,3.23,1,9,3640,,,,101,-2.85,0,3,3,52
1991,Jarmo Myllys\myllyja01,26,SJS,27,,3,18,1,115,862,747,0.867,5.02,0,3.1,1374,,,,119,-18.59,0,1,1,2
1991,Mike O'Neill\oneilmi01,24,WIN,1,,0,0,0,1,7,6,0.857,4.62,0,0,13,,,,,,0,0,0,0
1991,Frank Pietrangelo\pietrfr01,27,TOT,10,,5,2,1,32,286,254,0.888,3.61,0,1.5,531,,,,,,0,0,0,0
1991,Frank Pietrangelo\pietrfr01,27,HAR,5,,3,1,1,12,156,144,0.923,2.35,0,1.3,306,,,,,,0,0,0,0
1991,Frank Pietrangelo\pietrfr01,27,PIT,5,,2,1,0,20,130,110,0.846,5.33,0,0.2,225,,,,,,0,0,0,0
1991,Felix Potvin\potvife01,20,TOR,4,,0,2,1,8,120,112,0.933,2.29,0,1.1,210,,,,,,0,0,0,0
1991,Daren Puppa\puppada01,26,BUF,33,,11,14,4,114,932,818,0.878,3.89,0,4.2,1757,,,,109,-9.76,0,0,0,2
1991,Andre Racicot\racican01,22,MTL,9,,0,3,3,23,219,196,0.895,3.16,0,1.3,436,,,,,,0,0,0,0
1991,Bill Ranford\ranfobi01,25,EDM,67,,27,26,10,228,1971,1743,0.884,3.58,1,9.9,3822,,,,103,-7.56,0,3,3,4
1991,Jeff Reese\reeseje01,25,TOT,20,,4,7,3,57,500,443,0.886,3.42,1,2.6,1001,,,,102,-1.08,0,1,1,12
1991,Jeff Reese\reeseje01,25,CGY,12,,3,2,2,37,290,253,0.872,3.78,0,1.2,587,,,,,,0,1,1,12
1991,Jeff Reese\reeseje01,25,TOR,8,,1,5,1,20,210,190,0.905,2.9,1,1.4,413,,,,,,0,0,0,0
1991,Mike Richter\richtmi01,25,NYR,41,,23,12,2,119,1205,1086,0.901,3.11,3,7.8,2298,,,,88,15.77,0,0,0,6
1991,Vincent Riendeau\riendvi01,25,TOT,5,,3,2,0,13,127,114,0.898,3.2,0,0.8,244,,,,,,0,0,0,0
1991,Vincent Riendeau\riendvi01,25,STL,3,,1,2,0,11,96,85,0.885,4.22,0,0.5,157,,,,,,0,0,0,0
1991,Vincent Riendeau\riendvi01,25,DET,2,,2,0,0,2,31,29,0.935,1.38,0,0.3,87,,,,,,0,0,0,0
1991,Dominic Roussel\roussdo01,21,PHI,17,,7,8,2,40,437,397,0.908,2.6,1,3.1,922,,,,82,8.88,0,1,1,2
1991,Patrick Roy*\roypa01,26,MTL,67,,36,22,8,155,1806,1651,0.914,2.36,5,13.5,3935,,,,77,46.99,0,5,5,4
1991,Scott Sharples\sharpsc01,23,CGY,1,,0,0,1,4,40,36,0.9,3.69,0,0.3,65,,,,,,0,0,0,0
1991,Peter Sidorkiewicz\sidorpe01,28,HAR,35,,9,19,6,111,940,829,0.882,3.34,2,4.6,1995,,,,106,-5.87,0,1,1,2
1991,Rick Tabaracci\tabarri01,23,WIN,18,,6,7,3,52,470,418,0.889,3.23,0,2.6,966,,,,99,0.57,0,1,1,4
1991,John Tanner\tannejo01,20,QUE,14,,1,7,4,46,394,348,0.883,3.47,1,2,796,,,,104,-1.93,0,0,0,4
1991,Chris Terreri\terrech01,27,NJD,54,,22,22,10,169,1511,1342,0.888,3.18,1,8.1,3186,,,,100,0,0,1,1,13
1991,Ron Tugnutt\tugnuro01,24,TOT,33,,7,18,3,116,855,739,0.864,4.08,1,2.9,1707,,,,121,-20.37,0,0,0,2
1991,Ron Tugnutt\tugnuro01,24,QUE,30,,6,17,3,106,782,676,0.864,4.02,1,2.7,1583,,,,121,-18.54,0,0,0,0
1991,Ron Tugnutt\tugnuro01,24,EDM,3,,1,1,0,10,73,63,0.863,4.83,0,0.2,124,,,,,,0,0,0,2
1991,John Vanbiesbrouck\vanbijo01,28,NYR,45,,27,13,3,120,1331,1211,0.91,2.85,2,9.5,2526,,,,81,28.86,0,3,3,23
