year,Team,GP,W,L,T,OTL,SOL,Pts,GF,GA,PIM,Att.,Coach,Playoff Results
1991,Montreal Canadiens,80,41,28,11,0,0,93,267,207,1556,"17,005",Pat Burns,Lost in round 2
1991,Boston Bruins,80,36,32,12,0,0,84,270,275,1752,"14,274",Rick Bowness,Lost in round 3
1991,Buffalo Sabres,80,31,37,12,0,0,74,289,299,2713,"15,392","Dudley, Muckler {+}",Lost in round 1
1991,Hartford Whalers,80,26,41,13,0,0,65,247,283,1793,"10,896",Jim Roberts,Lost in round 1
1991,Quebec Nordiques,80,20,48,12,0,0,52,255,318,2044,"13,666","Chambers, Page {+}",Out of Playoffs
1991,Detroit Red Wings,80,43,25,12,0,0,98,320,256,2078,"19,723",Bryan Murray,Lost in round 2
1991,Chicago Blackhawks,80,36,29,15,0,0,87,257,236,2663,"17,509",Mike Keenan,Lost in Finals
1991,St. Louis Blues,80,36,33,11,0,0,83,279,266,2041,"17,518",Brian Sutter,Lost in round 1
1991,Minnesota North Stars,80,32,42,6,0,0,70,246,278,2169,"13,447",Bob Gainey,Lost in round 1
1991,Toronto Maple Leafs,80,30,43,7,0,0,67,234,294,1734,"15,586",Tom Watt,Out of Playoffs
1991,New York Rangers,80,50,25,5,0,0,105,321,246,1805,"16,904",Roger Neilson,Lost in round 2
1991,Washington Capitals,80,45,27,8,0,0,98,330,275,1777,"16,590",Terry Murray,Lost in round 1
1991,Pittsburgh Penguins,80,39,32,9,0,0,87,343,308,1907,"15,993","William ""Scotty"" Bowman",Won Championship
1991,New Jersey Devils,80,38,31,11,0,0,87,289,259,1611,"12,837",Tom McVie,Lost in round 1
1991,New York Islanders,80,34,35,11,0,0,79,291,299,1713,"10,039",Al Arbour,Out of Playoffs
1991,Philadelphia Flyers,80,32,37,11,0,0,75,252,273,1838,"17,140","Holmgren, Dineen {+}",Out of Playoffs
1991,Vancouver Canucks,80,42,26,12,0,0,96,285,250,2075,"15,768",Pat Quinn,Lost in round 2
1991,Los Angeles Kings,80,35,31,14,0,0,84,287,296,2161,"16,005",Tom Webster,Lost in round 1
1991,Edmonton Oilers,80,36,34,10,0,0,82,295,297,1907,"16,179",Ted Green,Lost in round 3
1991,Winnipeg Jets,80,33,32,15,0,0,81,251,244,1907,"12,931",John Paddock,Lost in round 1
1991,Calgary Flames,80,31,37,12,0,0,74,296,305,2643,"19,719","Risebrough, Charron {+}",Out of Playoffs
1991,San Jose Sharks,80,17,58,5,0,0,39,219,359,1894,"10,888",George Kingston,Out of Playoffs
1992,Boston Bruins,84,51,26,7,0,0,109,332,268,1552,"14,233",Brian Sutter,Lost in round 1
1992,Quebec Nordiques,84,47,27,10,0,0,104,351,300,1846,"14,981",Pierre Page,Lost in round 1
1992,Montreal Canadiens,84,48,30,6,0,0,102,326,280,1788,"17,018",Jacques Demers,Won Championship
1992,Buffalo Sabres,84,38,36,10,0,0,86,335,297,1873,"14,981",John Muckler,Lost in round 2
1992,Hartford Whalers,84,26,52,6,0,0,58,284,369,2354,"10,144",Paul Holmgren,Out of Playoffs
1992,Ottawa Senators,84,10,70,4,0,0,24,202,395,1716,"10,485",Rick Bowness,Out of Playoffs
1992,Chicago Blackhawks,84,47,25,12,0,0,106,279,230,2394,"17,776",Darryl Sutter,Lost in round 1
1992,Detroit Red Wings,84,47,28,9,0,0,103,369,280,1832,"19,707",Bryan Murray,Lost in round 1
1992,Toronto Maple Leafs,84,44,29,11,0,0,99,288,241,1815,"15,676",Pat Burns,Lost in round 3
1992,St. Louis Blues,84,37,36,11,0,0,85,282,278,1889,"16,737","Plager, Berry {+}",Lost in round 2
1992,Minnesota North Stars,84,36,38,10,0,0,82,272,293,1885,"13,910",Bob Gainey,Out of Playoffs
1992,Tampa Bay Lightning,84,23,54,7,0,0,53,245,332,1625,"10,014",Terry Crisp,Out of Playoffs
1992,Pittsburgh Penguins,84,56,21,7,0,0,119,367,268,1776,"16,105","William ""Scotty"" Bowman",Lost in round 2
1992,Washington Capitals,84,43,34,7,0,0,93,325,286,1709,"15,540",Terry Murray,Lost in round 1
1992,New Jersey Devils,84,40,37,7,0,0,87,308,299,1815,"13,658",Herb Brooks,Lost in round 1
1992,New York Islanders,84,40,37,7,0,0,87,335,297,1701,"12,036",Al Arbour,Lost in round 3
1992,Philadelphia Flyers,84,36,37,11,0,0,83,319,319,1887,"17,281",Bill Dineen,Out of Playoffs
1992,New York Rangers,84,34,39,11,0,0,79,304,308,1657,"17,585","Neilson, Smith {+}",Out of Playoffs
1992,Vancouver Canucks,84,46,29,9,0,0,101,346,278,2326,"15,418",Pat Quinn,Lost in round 2
1992,Calgary Flames,84,43,30,11,0,0,97,322,282,1951,"19,529",Dave King,Lost in round 1
1992,Los Angeles Kings,84,39,35,10,0,0,88,338,340,2247,"15,833",Barry Melrose,Lost in Finals
1992,Winnipeg Jets,84,40,37,7,0,0,87,322,320,1851,"13,550",John Paddock,Lost in round 1
1992,Edmonton Oilers,84,26,50,8,0,0,60,242,337,2027,"14,797",Ted Green,Out of Playoffs
1992,San Jose Sharks,84,11,71,2,0,0,24,218,414,2134,"11,045",George Kingston,Out of Playoffs
1993,New York Rangers,84,52,24,8,0,0,112,299,231,1688,"17,761",Mike Keenan,Won Championship
1993,New Jersey Devils,84,47,25,12,0,0,106,306,220,1734,"14,585",Jacques Lemaire,Lost in round 3
1993,Washington Capitals,84,39,35,10,0,0,88,277,263,2007,"14,527","Murray, Schoenfeld {+}",Lost in round 2
1993,New York Islanders,84,36,36,12,0,0,84,282,264,1787,"12,091",Al Arbour,Lost in round 1
1993,Florida Panthers,84,33,34,17,0,0,83,233,233,1620,"14,190",Roger Neilson,Out of Playoffs
1993,Philadelphia Flyers,84,35,39,10,0,0,80,294,314,1697,"17,020",Terry Simpson,Out of Playoffs
1993,Tampa Bay Lightning,84,30,43,11,0,0,71,224,251,1579,"19,398",Terry Crisp,Out of Playoffs
1993,Detroit Red Wings,84,46,30,8,0,0,100,356,275,1775,"19,625","William ""Scotty"" Bowman",Lost in round 1
1993,Toronto Maple Leafs,84,43,29,12,0,0,98,280,243,1877,"15,764",Pat Burns,Lost in round 3
1993,Dallas Stars,84,42,29,13,0,0,97,286,265,1919,"16,070",Bob Gainey,Lost in round 2
1993,St. Louis Blues,84,40,33,11,0,0,91,270,283,1659,"17,313",Bob Berry,Lost in round 1
1993,Chicago Blackhawks,84,39,36,9,0,0,87,254,240,2125,"17,683",Darryl Sutter,Lost in round 1
1993,Winnipeg Jets,84,24,51,9,0,0,57,245,344,2143,"13,130",John Paddock,Out of Playoffs
1993,Pittsburgh Penguins,84,44,27,13,0,0,101,299,285,1624,"16,741",Ed Johnston,Lost in round 1
1993,Boston Bruins,84,42,29,13,0,0,97,289,252,1442,"13,998",Brian Sutter,Lost in round 2
1993,Montreal Canadiens,84,41,29,14,0,0,96,283,248,1524,"16,979",Jacques Demers,Lost in round 1
1993,Buffalo Sabres,84,43,32,9,0,0,95,282,218,1760,"14,602",John Muckler,Lost in round 1
1993,Quebec Nordiques,84,34,42,8,0,0,76,277,292,1625,"14,564",Pierre Page,Out of Playoffs
1993,Hartford Whalers,84,27,48,9,0,0,63,227,288,1809,"10,407","Holmgren, McGuire {+}",Out of Playoffs
1993,Ottawa Senators,84,14,61,9,0,0,37,201,397,1710,"10,300",Rick Bowness,Out of Playoffs
1993,Calgary Flames,84,42,29,13,0,0,97,302,256,1847,"19,214",Dave King,Lost in round 1
1993,Vancouver Canucks,84,41,40,3,0,0,85,279,276,1923,"15,140",Pat Quinn,Lost in Finals
1993,San Jose Sharks,84,33,35,16,0,0,82,252,265,1343,"16,537",Kevin Constantine,Lost in round 2
1993,Anaheim Mighty Ducks,84,33,46,5,0,0,71,229,251,1507,"16,728",Ron Wilson,Out of Playoffs
1993,Los Angeles Kings,84,27,45,12,0,0,66,294,322,2017,"15,529",Barry Melrose,Out of Playoffs
1993,Edmonton Oilers,84,25,45,14,0,0,64,261,305,1858,"13,413","Green, Sather {+}",Out of Playoffs
1994,Philadelphia Flyers,48,28,16,4,0,0,60,150,132,741,"17,160",Terry Murray,Lost in round 3
1994,New Jersey Devils,48,22,18,8,0,0,52,136,121,787,"16,379",Jacques Lemaire,Won Championship
1994,Washington Capitals,48,22,18,8,0,0,52,136,120,1144,"14,158",Jim Schoenfeld,Lost in round 1
1994,New York Rangers,48,22,23,3,0,0,47,139,134,781,"18,200",Colin Campbell,Lost in round 2
1994,Florida Panthers,48,20,22,6,0,0,46,115,127,770,"14,192",Roger Neilson,Out of Playoffs
1994,Tampa Bay Lightning,48,17,28,3,0,0,37,120,144,1040,"19,932",Terry Crisp,Out of Playoffs
1994,New York Islanders,48,15,28,5,0,0,35,126,158,901,"12,573",Lorne Henning,Out of Playoffs
1994,Detroit Red Wings,48,33,11,4,0,0,70,180,117,932,"19,779","William ""Scotty"" Bowman",Lost in Finals
1994,St. Louis Blues,48,28,15,5,0,0,61,178,135,1077,"19,469",Mike Keenan,Lost in round 1
1994,Chicago Blackhawks,48,24,19,5,0,0,53,156,115,1123,"20,832",Darryl Sutter,Lost in round 3
1994,Toronto Maple Leafs,48,21,19,8,0,0,50,135,146,744,"15,744",Pat Burns,Lost in round 1
1994,Dallas Stars,48,17,23,8,0,0,42,136,135,1117,"16,729",Bob Gainey,Lost in round 1
1994,Winnipeg Jets,48,16,25,7,0,0,39,157,177,1141,"13,012","Paddock, Simpson {+}",Out of Playoffs
1994,Quebec Nordiques,48,30,13,5,0,0,65,185,134,770,"14,397",Marc Crawford,Lost in round 1
1994,Pittsburgh Penguins,48,29,16,3,0,0,61,181,158,1036,"16,108",Ed Johnston,Lost in round 2
1994,Boston Bruins,48,27,18,3,0,0,57,150,127,793,"14,300",Brian Sutter,Lost in round 1
1994,Buffalo Sabres,48,22,19,7,0,0,51,130,119,1022,"15,052",John Muckler,Lost in round 1
1994,Montreal Canadiens,48,18,23,7,0,0,43,125,148,840,"16,964",Jacques Demers,Out of Playoffs
1994,Hartford Whalers,48,19,24,5,0,0,43,127,141,915,"11,835",Paul Holmgren,Out of Playoffs
1994,Ottawa Senators,48,9,34,5,0,0,23,117,174,749,"9,879",Rick Bowness,Out of Playoffs
1994,Calgary Flames,48,24,17,7,0,0,55,163,135,1249,"19,035",Dave King,Lost in round 1
1994,Vancouver Canucks,48,18,18,12,0,0,48,153,148,1093,"13,920",Rick Ley,Lost in round 2
1994,San Jose Sharks,48,19,25,4,0,0,42,129,161,840,"17,190",Kevin Constantine,Lost in round 2
1994,Los Angeles Kings,48,16,23,9,0,0,41,142,174,978,"15,397","Melrose, Vachon {+}",Out of Playoffs
1994,Edmonton Oilers,48,17,27,4,0,0,38,136,183,1183,"13,123","Burnett, Low {+}",Out of Playoffs
1994,Anaheim Mighty Ducks,48,16,27,5,0,0,37,125,164,731,"17,174",Ron Wilson,Out of Playoffs
1995,Philadelphia Flyers,82,45,24,13,0,0,107,282,208,1785,"17,344",Terry Murray,Lost in round 2
1995,New York Rangers,82,41,27,14,0,0,96,272,237,1849,"18,200",Colin Campbell,Lost in round 2
1995,Florida Panthers,82,41,31,10,0,0,92,254,234,1494,"13,278",Doug MacLean,Lost in Finals
1995,Washington Capitals,82,39,32,11,0,0,89,234,204,1553,"15,155",Jim Schoenfeld,Lost in round 1
1995,Tampa Bay Lightning,82,38,32,12,0,0,88,238,248,1628,"18,880",Terry Crisp,Lost in round 1
1995,New Jersey Devils,82,37,33,12,0,0,86,215,202,1486,"16,219",Jacques Lemaire,Out of Playoffs
1995,New York Islanders,82,22,50,10,0,0,54,229,315,1669,"11,355",Mike Milbury,Out of Playoffs
1995,Detroit Red Wings,82,62,13,7,0,0,131,325,181,1551,"19,923","William ""Scotty"" Bowman",Lost in round 3
1995,Chicago Blackhawks,82,40,28,14,0,0,94,273,220,1880,"20,390",Craig Hartsburg,Lost in round 2
1995,St. Louis Blues,82,32,34,16,0,0,80,219,248,1823,"18,805",Mike Keenan,Lost in round 2
1995,Toronto Maple Leafs,82,34,36,12,0,0,80,247,252,1742,"15,729","Burns, Beverley {+}",Lost in round 1
1995,Winnipeg Jets,82,36,40,6,0,0,78,275,291,1622,"11,316",Terry Simpson,Lost in round 1
1995,Dallas Stars,82,26,42,14,0,0,66,227,280,1652,"15,572","Gainey, Hitchcock {+}",Out of Playoffs
